incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
901803728,C18047148,10/29/2018 04:00:20 AM,"274 - BURGLARY, RESIDENTIAL","274 - BURGLARY, RESIDENTIAL",,35600 Block 32ND AVE S,,AUBURN,WA,98001,,47.2815375,-122.2926306,01/17/2019 07:17:53 PM,02/21/2019 12:55:23 AM,POINT (-122.2926306 47.2815375),4,Monday,Breaking & Entering
907650913,C18047070,10/29/2018 05:30:27 AM,"271 - BURGLARY, COMMERCIAL","271 - BURGLARY, COMMERCIAL",,21600 Block MAXWELL RD SE,,MAPLE VALLEY,WA,98038,,47.4075329,-122.0367064,02/21/2019 12:53:41 AM,02/21/2019 12:55:20 AM,POINT (-122.0367064 47.4075329),5,Monday,Breaking & Entering
901803774,C18047042,10/29/2018 05:54:01 AM,"511 - CRIMINAL WARRANT, MISDEMEANOR (OUTSIDE AGENCY)","511 - CRIMINAL WARRANT, MISDEMEANOR (OUTSIDE AGENCY)",,34000 Block MILITARY RD S,,AUBURN,WA,98001,,47.2959799,-122.274044,01/17/2019 07:17:53 PM,02/21/2019 12:55:22 AM,POINT (-122.274044 47.2959799),5,Monday,Other
907655837,C18047480,10/29/2018 06:00:34 AM,190 - CREDIT CARD/ATM FRAUD,190 - CREDIT CARD/ATM FRAUD,,8400 Block S 123RD ST,,SEATTLE,WA,98178,,47.4930754,-122.2269831,02/21/2019 01:34:42 AM,02/21/2019 01:35:55 AM,POINT (-122.2269831 47.4930754),6,Monday,Property Crime
901803732,C18047052,10/29/2018 07:30:49 AM,"288 - LARCENY, TFA - THEFT FROM AUTO","288 - LARCENY, TFA - THEFT FROM AUTO",,16000 Block SE 116TH ST,,RENTON,WA,98059,,47.4989362,-122.1267979,01/17/2019 07:17:53 PM,02/21/2019 12:55:22 AM,POINT (-122.1267979 47.4989362),7,Monday,Theft from Vehicle
907650912,C18047055,10/29/2018 08:46:15 AM,334 - VANDALISM UNDER $1500,334 - VANDALISM UNDER $1500,,1 Block AVE SW & SW 106TH ST,,WHITE CENTER,WA,98146,,47.50857209999999,-122.3347615,02/21/2019 12:53:41 AM,02/21/2019 12:55:20 AM,POINT (-122.3347615 47.50857209999999),8,Monday,Property Crime
901803903,C18047067,10/29/2018 09:01:00 AM,"353 - BOMB, SUSPICIOUS PACKAGE","353 - BOMB, SUSPICIOUS PACKAGE",,4800 Block MARTIN LUTHER KING JR WAY S,,SEATTLE,WA,98108,,47.5592676,-122.2923472,01/17/2019 07:18:31 PM,02/21/2019 12:56:14 AM,POINT (-122.2923472 47.5592676),9,Monday,Other
907655559,C18047064,10/29/2018 09:04:54 AM,"327 - STOLEN PROPERTY, POSSESSION AND / OR SALE","327 - STOLEN PROPERTY, POSSESSION AND / OR SALE",,3200 Block S 296TH PL,,AUBURN,WA,98001,,47.3363969,-122.2915385,02/21/2019 01:33:32 AM,02/21/2019 01:34:39 AM,POINT (-122.2915385 47.3363969),9,Monday,Property Crime
903813080,C18047089,10/29/2018 09:57:00 AM,"325 - PROPERTY, CONFISCATED","325 - PROPERTY, CONFISCATED",,11300 Block RENTON ISSAQUAH RD SE,,ISSAQUAH,WA,98027,,47.4997554,-122.0981203,01/30/2019 10:54:39 PM,02/21/2019 02:32:21 AM,POINT (-122.0981203 47.4997554),9,Monday,Other
901805245,C18047154,10/29/2018 10:00:53 AM,"182 - FRAUD, ALL OTHER","182 - FRAUD, ALL OTHER",,16700 Block SE 331ST ST,,AUBURN,WA,98092,,47.304402,-122.119826,01/17/2019 07:24:35 PM,02/21/2019 01:08:38 AM,POINT (-122.119826 47.304402),10,Monday,Property Crime
